ecosystem,package_name,prev_version,version,y_malicious,delta_num_requires_dist,delta_summary_len,delta_description_len,delta_num_classifiers,delta_has_author,delta_has_license,delta_num_dependencies,delta_num_dev_dependencies,delta_num_scripts,delta_num_keywords,delta_version_len,delta_version_num_dots,delta_version_has_prerelease,prev_label_malicious,static_size_prev_uncompressed_bytes,static_size_curr_uncompressed_bytes,static_size_delta_vs_prev,static_size_ratio_vs_prev,ratio_static_size_uncompressed_bytes,delta_pypi_size_bytes,ratio_pypi_size_bytes,delta_npm_unpacked_size_bytes,ratio_npm_unpacked_size_bytes,delta_npm_file_count,ratio_npm_file_count,delta_entropy_ratio_size,ratio_entropy_ratio_size,delta_entropy_indicator,ratio_entropy_indicator
npm,@asyncapi/modelina,5.10.0,5.10.1,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3491253.0,3491659.0,406.0,1.0001162906268894,1.0001162906268894,,,406.0,1.0001162906268894,0.0,1.0,0.2207721587819833,1.0001162906268897,0.0,
npm,@asyncapi/modelina,5.10.1,5.10.2-next.1,1,,,0.0,,,,0.0,0.0,0.0,0.0,7.0,1.0,1.0,,3491659.0,3491775.0,116.0,1.0000332220299863,1.0000332220299863,,,116.0,1.0000332220299863,0.0,1.0,0.0630777596520602,1.0000332220299863,0.0,
npm,@asyncapi/modelina-cli,5.1.0,5.1.1,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,132374.0,132374.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,
npm,@asyncapi/modelina-cli,5.1.1,5.10.0,0,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,132374.0,132631.0,257.0,1.0019414688685089,1.0019414688685089,,,257.0,1.0019414688685089,0.0,1.0,3.8358208955223745,1.0019414688685089,0.0,
npm,@asyncapi/modelina-cli,5.10.0,5.10.1,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,132631.0,132631.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,
npm,@asyncapi/modelina-cli,5.10.1,5.10.2-next.1,1,,,0.0,,,,0.0,0.0,0.0,0.0,7.0,1.0,1.0,,132631.0,132722.0,91.0,1.0006861141060537,1.0006861141060537,,,91.0,1.0006861141060537,0.0,1.0,1.3582089552237449,1.0006861141060535,0.0,
npm,@asyncapi/studio,0.2.6,0.2.6,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28012930.0,28012930.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
npm,@asyncapi/studio,0.2.6,0.2.7,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28012930.0,28159675.0,146745.0,1.005238473804775,1.005238473804775,,,146745.0,1.005238473804775,1.0,1.0357142857142858,-29438.509852216695,0.9705750781563347,0.0,1.0
npm,@asyncapi/studio,0.2.7,0.2.7,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28159675.0,28159675.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
npm,@asyncapi/studio,0.2.7,0.2.8,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28159675.0,28173197.0,13522.0,1.0004801902010587,1.0004801902010587,,,13522.0,1.0004801902010587,0.0,1.0,466.2758620689856,1.0004801902010587,0.0,1.0
npm,@asyncapi/studio,0.2.8,0.2.8,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28173197.0,28173197.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
npm,@asyncapi/studio,0.2.8,0.20.0,0,,,0.0,,,,3.0,27.0,1.0,0.0,1.0,0.0,0.0,,28173197.0,42199562.0,14026365.0,1.4978620282249118,1.4978620282249118,,,14026365.0,1.4978620282249118,241.0,9.310344827586206,-815194.877650064,0.16088147710563866,0.0,1.0
npm,@asyncapi/studio,0.20.0,0.20.0,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,42199562.0,42199562.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
npm,@asyncapi/studio,0.20.0,0.20.1,1,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,42199562.0,42699058.0,499496.0,1.0118365209572555,1.0118365209572555,,,499496.0,1.0118365209572555,0.0,1.0,1849.9851851851854,1.0118365209572555,0.0,1.0
npm,@asyncapi/studio,0.20.1,0.20.2,1,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,42699058.0,42701266.0,2208.0,1.0000517107426585,1.0000517107426585,,,2208.0,1.0000517107426585,0.0,1.0,8.17777777777519,1.0000517107426585,0.0,1.0
npm,@bh-ui/theme,0.0.1-security,1.0.0,1,,,-24.0,,,,0.0,0.0,1.0,0.0,-9.0,0.0,-1.0,,434.0,312.0,-122.0,0.7188940092165899,0.7188940092165899,,,-122.0,0.7188940092165899,-1.0,0.5,95.0,1.4377880184331797,0.0,
npm,@browserbasehq/stagehand,3.0.3-alpha-a9b58f1cae6c5da571c7b0c9f02e425490e0c75d,3.0.3-alpha-ab51232db428be048957c0f5d67f2176eb7a5194,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1619142.0,1618396.0,-746.0,0.999539262152424,0.999539262152424,,,-746.0,0.999539262152424,0.0,1.0,-149.20000000001164,0.999539262152424,0.0,1.0
npm,@browserbasehq/stagehand,3.0.3-alpha-ab51232db428be048957c0f5d67f2176eb7a5194,3.0.3-alpha-c76ade009ef81208accae6475ec4707d3906e566,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1618396.0,1611722.0,-6674.0,0.9958761638066332,0.9958761638066332,,,-6674.0,0.9958761638066332,0.0,1.0,-1334.7999999999884,0.9958761638066332,0.0,1.0
npm,@browserbasehq/stagehand,3.0.3-alpha-c76ade009ef81208accae6475ec4707d3906e566,3.0.3-alpha-ffb5e5d2ab49adcb2efdfc9e5c76e8c96268b5b3,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1611722.0,1619142.0,7420.0,1.0046037716181824,1.0046037716181824,,,7420.0,1.0046037716181824,0.0,1.0,1484.0,1.0046037716181824,0.0,1.0
npm,@browserbasehq/stagehand,3.0.3-alpha-ffb5e5d2ab49adcb2efdfc9e5c76e8c96268b5b3,3.0.4-alpha-04d68f9734ddb2342d4e8b5c068fac3bfabdf2f2,1,,,0.0,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1619142.0,1620463.0,1321.0,1.0008158642046219,1.0008158642046219,,,1321.0,1.0008158642046219,0.0,1.0,264.19999999995343,1.0008158642046219,0.0,1.0
npm,@cat-wc/utilities,0.0.1-security,1.0.1,1,,,-21.0,,,,0.0,0.0,2.0,1.0,-9.0,0.0,-1.0,,444.0,439.0,-5.0,0.9887387387387387,0.9887387387387387,,,-5.0,0.9887387387387387,-1.0,0.5,217.0,1.9774774774774775,0.0,
npm,@dev-blinq/cucumber-js,1.0.129-dev,1.0.13-stage,0,,,0.0,,,,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,,969615.0,924789.0,-44826.0,0.9537692795594127,0.9537692795594127,,,-44826.0,0.9537692795594127,-3.0,0.9918478260869565,-101.15487641453274,0.9616084791174352,0.0,
npm,@dev-blinq/cucumber-js,1.0.13-stage,1.0.130,0,,,151.0,,,,4.0,0.0,1.0,0.0,-5.0,0.0,-1.0,,924789.0,1059402.0,134613.0,1.1455607711596916,1.1455607711596916,,,134613.0,1.1455607711596916,6.0,1.0164383561643835,321.8625041538976,1.1270341818686993,0.0,
npm,@dev-blinq/cucumber-js,1.0.130,1.0.130-dev,0,,,-151.0,,,,-3.0,0.0,-1.0,0.0,4.0,0.0,1.0,,1059402.0,969538.0,-89864.0,0.9151747872856574,0.9151747872856574,,,-89864.0,0.9151747872856574,-3.0,0.9919137466307277,-220.91686686979983,0.9226354513124425,0.0,
npm,@dev-blinq/cucumber-js,1.0.130-dev,1.0.131-dev,1,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,969538.0,969703.0,165.0,1.000170184149564,1.000170184149564,,,165.0,1.000170184149564,0.0,1.0,0.44836956521749016,1.000170184149564,0.0,
npm,@dev-blinq/cucumber_client,1.0.734-stage,1.0.735,0,,,0.0,,,,7.0,5.0,11.0,0.0,-6.0,0.0,-1.0,,1030509.0,2222159.0,1191650.0,2.1563702985611966,2.1563702985611966,,,1191650.0,2.1563702985611966,6.0,1.0681818181818181,11929.65981624758,2.0187296412062263,0.0,1.0
npm,@dev-blinq/cucumber_client,1.0.735,1.0.735-dev,0,,,-1.0,,,,-7.0,-6.0,-13.0,0.0,4.0,0.0,1.0,,2222159.0,953334.0,-1268825.0,0.4290125054057788,0.4290125054057788,,,-1268825.0,0.4290125054057788,-9.0,0.9042553191489362,-12424.295244055067,0.47443735891933186,0.0,1.0
npm,@dev-blinq/cucumber_client,1.0.735-dev,1.0.735-dev,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,953334.0,953334.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
npm,@dev-blinq/cucumber_client,1.0.735-dev,1.0.735-stage,0,,,1.0,,,,0.0,1.0,2.0,0.0,2.0,0.0,0.0,,953334.0,1030509.0,77175.0,1.080952740592489,1.080952740592489,,,77175.0,1.080952740592489,3.0,1.035294117647059,494.63542780748685,1.0441020789813815,0.0,1.0
